Brand,Affiliate Name,Category,Product Name,Product URL,Affiliate URL,Coupon Code,Country,Status
estack.us,AFN,Loans and Credit,Advance Funds Network,,https://app.advancefundsnetwork.com/affiliate-landing/U0JxSd5yROWgKfF93ibsLDcSCkn2,,US,Active
estack.us,Kitco (Awin — pub 2936205),Bullion,Kitco,,https://awin1.com/cread.php?awinmid=84579&awinaffid=2936205,,US,Active
estack.us,Windsor.ai,Tech & AI Tools,Windsor.ai,,https://windsor.ai/?fpr=paul17,,US,Active
estack.us,Shopify,Tech & AI Tools,Shopify,,https://shopify.pxf.io/PzRMVN,,US,Active
estack.us,beehiiv,Tech & AI Tools,beehiiv,,https://beehiiv.com/?via=paul-malandrino,,US,Active
estack.us,CreditMarketing (CMI),Loans and Credit,USA Rebound Finance,,https://cmi.rocks/go/6a443c202adb2,,US,Active
estack.ca,Windsor.ai,Tech & AI Tools,Windsor.ai,,https://windsor.ai/?fpr=paul17,,CA,Active
estack.ca,Shopify (Impact),Tech & AI Tools,Shopify,,https://shopify.pxf.io/PzRMVN,,CA,Active
estack.ca,Kitco (Awin — pub 2936205),Bullion,Kitco US & Canada,,https://www.awin1.com/cread.php?s=3795009&v=84579&q=505826&r=2936205,,CA,Active
estack.ca,beehiiv,Tech & AI Tools,beehiiv,,https://beehiiv.com/?via=paul-malandrino,,CA,Active
estack.ca,CreditMarketing.ca,Loans and Credit,Loan Genie,,https://cmi.rocks/go/6a3eeaf652419,,CA,Active
estack.ca,CreditMarketing.ca,Loans and Credit,Rate Genie,,https://cmi.rocks/go/6a3eeb14424a6,,CA,Active
estack.ca,CreditMarketing.ca,Loans and Credit,Spark Credit,,https://cmi.rocks/go/6a3eeb70dd3f2,,CA,Active
estack.ca,CreditMarketing.ca,Loans and Credit,Spring Credit,,https://cmi.rocks/go/6a3eeb8cee0f5,,CA,Active
estack.ca,CreditMarketing.ca,Loans and Credit,Bree,,https://cmi.rocks/go/6a3eedd49801f,,CA,Active
estack.ca,CreditMarketing.ca,Loans and Credit,WagePay,,https://cmi.rocks/go/6a42ef72808d0,,CA,Active
estack.ca,CreditMarketing.ca,Loans and Credit,MyAutoApproval,,https://cmi.rocks/go/6a3eeb348cc43,,CA,Active
estack.ca,CreditMarketing.ca,Loans and Credit,Auto Loan Refi,,https://cmi.rocks/go/6a3eeba3b98c6,,CA,Active
estack.ca,CreditMarketing.ca,Loans and Credit,CompareHub,,https://cmi.rocks/go/6a3eec522d17d,,CA,Active
estack.ca,CreditMarketing.ca,Loans and Credit,H&R Block,,https://cmi.rocks/go/6a42edae3e422,,CA,Active
estack.ca,CreditMarketing.ca,Loans and Credit,Kikoff,,https://cmi.rocks/go/6a42edef9bbb4,,CA,Active
estack.ca,CreditMarketing.ca,Loans and Credit,KOHO Cover $250,,https://cmi.rocks/go/6a42ee2365fdd,,CA,Active
estack.ca,CreditMarketing.ca,Loans and Credit,KOHO Credit Building,,https://cmi.rocks/go/6a42ee849e331,,CA,Active
estack.ca,CreditMarketing.ca,Loans and Credit,Neo Credit Card,,https://cmi.rocks/go/6a42eeccaf45a,,CA,Active
estack.ca,CreditMarketing.ca,Loans and Credit,Neo Secured Card,,https://cmi.rocks/go/6a42eef344f3e,,CA,Active
estack.ca,CreditMarketing.ca,Loans and Credit,Neo Money Account,,https://cmi.rocks/go/6a42f07e95e34,,CA,Active
estack.ca,CreditMarketing.ca,Loans and Credit,Neo HISA,,https://cmi.rocks/go/6a42f0d6cf40e,,CA,Active
estack.ca,AFN,Loans and Credit,Advance Funds Network,,https://app.advancefundsnetwork.com/affiliate-landing/U0JxSd5yROWgKfF93ibsLDcSCkn2,,CA,Active
estack.ca,Blackhawk Network Canada (Awin — pub 2936205),Gift Cards,Gift Cards,,https://www.awin1.com/cread.php?s=4518320&v=91359&q=581813&r=2936205,,CA,Active
TSC,CJ Affiliate,Travel,Hotels.com,,https://www.dpbolvw.net/click-101746656-11131426,,CA,Active
TSC,CJ Affiliate,Travel,VRBO,,https://www.anrdoezrs.net/click-101746656-13880505,,CA,Active
TSC,CJ Affiliate,Home and Kitchen,Wrap-It Storage,,https://www.anrdoezrs.net/click-101746656-17279920,,CA,Active
TSC,Gumroad,Digital Products,Claude for Contractors,,https://straightcut.gumroad.com,,CA,Active
TSC,Gumroad,Digital Products,Bank Said No,,https://straightcut.gumroad.com,,CA,Active
estack.us,CJ Affiliate,Loans and Credit,SmartCredit — Trial Design 1,,https://www.tkqlhce.com/click-101836336-16981737,,US,Active
TSC,Awin,Health and Beauty,Bathorium (US),,https://www.awin1.com/cread.php?awinmid=120413&awinaffid=2902393,,US,Active
TSC,Awin,Travel,Skylark Travel Group,,https://www.awin1.com/cread.php?awinmid=106305&awinaffid=2902393,,CA,Active
TSC,Awin,Travel,Roamable,,https://www.awin1.com/awclick.php?gid=581576&mid=118127&awinaffid=2936205&linkid=4514497&clickref=,,CA,Active
estack.ca,Awin,Bullion,Money Metals Exchange,,https://www.awin1.com/cread.php?s=3928272&v=88985&q=519076&r=2936205,,CA,Active
estack.ca,Sprott Money,Bullion,Sprott Money Canada,,https://www.sprottmoney.ca/?acc=paul-maladrino-5887a,,CA,Active
TSC,Rocky Mountain Dog,Pets,Rocky Mountain Dog,,https://rockymountaindog.ca/discount/RAYCUTTER10?ref=mcwboquj,RAYCUTTER10,CA,Active
